Sample,Project,SampleName,PMID,Genotype,Ecotype,Tissue_raw,TotalReads,UniqueMappedRate,ReleaseDate,Count,Tissue,VegetativeRepro,AboveBelow
DRX084604,PRJDB5719,FukudaRNA5-2_Index48,/,/,/,aerial seedling,11390008,0.83,7/17/2018,,other,other,other
DRX084605,PRJDB5719,FukudaRNA5-2_Index55,/,/,/,aerial seedling,3589559,0.82,7/17/2018,,other,other,other
DRX084606,PRJDB5719,FukudaRNA5-2_Index56,/,/,/,aerial seedling,6327091,0.83,7/17/2018,,other,other,other
DRX084607,PRJDB5719,FukudaRNA5-2_Index63,/,/,/,aerial seedling,4148425,0.84,7/17/2018,,other,other,other
DRX084608,PRJDB5719,FukudaRNA5-2_Index64,/,/,/,aerial seedling,5579685,0.82,7/17/2018,,other,other,other
DRX084609,PRJDB5719,FukudaRNA5-2_Index7,/,/,/,aerial seedling,4817136,0.84,7/17/2018,,other,other,other
DRX084610,PRJDB5719,FukudaRNA5-2_Index71,/,/,/,aerial seedling,5089318,0.82,7/17/2018,,other,other,other
DRX084611,PRJDB5719,FukudaRNA5-2_Index72,/,/,/,aerial seedling,7268189,0.82,7/17/2018,,other,other,other
DRX084612,PRJDB5719,FukudaRNA5-2_Index79,/,/,/,aerial seedling,5838570,0.82,7/17/2018,,other,other,other
DRX084613,PRJDB5719,FukudaRNA5-2_Index8,/,/,/,aerial seedling,5627102,0.84,7/17/2018,,other,other,other
DRX084614,PRJDB5719,FukudaRNA5-2_Index80,/,/,/,aerial seedling,5113936,0.82,7/17/2018,,other,other,other
DRX084615,PRJDB5719,FukudaRNA5-2_Index87,/,/,/,aerial seedling,7077453,0.82,7/17/2018,,other,other,other
DRX084616,PRJDB5719,FukudaRNA5-2_Index88,/,/,/,aerial seedling,5855901,0.83,7/17/2018,,other,other,other
DRX084617,PRJDB5719,FukudaRNA5-2_Index95,/,/,/,aerial seedling,5506357,0.83,7/17/2018,,other,other,other
DRX084618,PRJDB5719,FukudaRNA5-2_Index96,/,/,/,aerial seedling,3399332,0.83,7/17/2018,,other,other,other
DRX084620,PRJDB5719,FukudaRNA5-3_Index17,/,/,/,aerial seedling,10979675,0.86,7/17/2018,,other,other,other
DRX084621,PRJDB5719,FukudaRNA5-3_Index25,/,/,/,aerial seedling,7937659,0.86,7/17/2018,,other,other,other
DRX084622,PRJDB5719,FukudaRNA5-3_Index33,/,/,/,aerial seedling,7217482,0.86,7/17/2018,,other,other,other
DRX084623,PRJDB5719,FukudaRNA5-3_Index41,/,/,/,aerial seedling,10657016,0.86,7/17/2018,,other,other,other
DRX084624,PRJDB5719,FukudaRNA5-3_Index49,/,/,/,aerial seedling,9426499,0.85,7/17/2018,,other,other,other
DRX084625,PRJDB5719,FukudaRNA5-3_Index57,/,/,/,aerial seedling,9295149,0.85,7/17/2018,,other,other,other
DRX084626,PRJDB5719,FukudaRNA5-3_Index65,/,/,/,aerial seedling,4204707,0.82,7/17/2018,,other,other,other
DRX084627,PRJDB5719,FukudaRNA5-3_Index73,/,/,/,aerial seedling,5444092,0.84,7/17/2018,,other,other,other
DRX084628,PRJDB5719,FukudaRNA5-3_Index81,/,/,/,aerial seedling,4683325,0.85,7/17/2018,,other,other,other
DRX084629,PRJDB5719,FukudaRNA5-3_Index89,/,/,/,aerial seedling,6906395,0.84,7/17/2018,,other,other,other
DRX084630,PRJDB5719,FukudaRNA5-3_Index9,/,/,/,aerial seedling,13901296,0.86,7/17/2018,,other,other,other
DRX088878,PRJDB5858,dag7-zt1-1,/,/,Col-0,shoot,12184423,0.75,5/29/2018,752,Shoot,Vegetative,Above
DRX088879,PRJDB5858,dag7-zt1-2,/,/,Col-0,shoot,8601102,0.75,5/29/2018,752,Shoot,Vegetative,Above
DRX088880,PRJDB5858,dag7-zt1-3,/,/,Col-0,shoot,6958283,0.75,5/29/2018,752,Shoot,Vegetative,Above
DRX088881,PRJDB5858,dag7-zt1-4,/,/,Col-0,shoot,8259769,0.75,5/29/2018,752,Shoot,Vegetative,Above
DRX088883,PRJDB5858,dag7-zt1-6,/,/,Col-0,shoot,10601592,0.75,5/29/2018,752,Shoot,Vegetative,Above
DRX088884,PRJDB5858,dag7-zt1-8,/,/,Col-0,shoot,8515131,0.77,5/29/2018,752,Shoot,Vegetative,Above
DRX088885,PRJDB5858,dag7-zt1-9,/,/,Col-0,shoot,8085504,0.76,5/29/2018,752,Shoot,Vegetative,Above
DRX088886,PRJDB5858,dag7-zt1-10,/,/,Col-0,shoot,4939708,0.76,5/29/2018,752,Shoot,Vegetative,Above
DRX088888,PRJDB5858,dag7-zt1-12,/,/,Col-0,shoot,6533965,0.76,5/29/2018,752,Shoot,Vegetative,Above
DRX088889,PRJDB5858,dag7-zt1-13,/,/,Col-0,shoot,10187183,0.76,5/29/2018,752,Shoot,Vegetative,Above
DRX088890,PRJDB5858,dag7-zt1-14,/,/,Col-0,shoot,11190081,0.76,5/29/2018,752,Shoot,Vegetative,Above
DRX088894,PRJDB5858,dag7-zt1-18,/,/,Col-0,shoot,7328485,0.75,5/29/2018,752,Shoot,Vegetative,Above
DRX088895,PRJDB5858,dag7-zt1-19,/,/,Col-0,shoot,12326957,0.77,5/29/2018,752,Shoot,Vegetative,Above
DRX088896,PRJDB5858,dag7-zt1-20,/,/,Col-0,shoot,22979831,0.76,5/29/2018,752,Shoot,Vegetative,Above
DRX088899,PRJDB5858,dag7-zt13-1,/,/,Col-0,shoot,17355666,0.75,5/29/2018,752,Shoot,Vegetative,Above
DRX088900,PRJDB5858,dag7-zt13-2,/,/,Col-0,shoot,25169432,0.78,5/29/2018,752,Shoot,Vegetative,Above
DRX088904,PRJDB5858,dag7-zt13-6,/,/,Col-0,shoot,12645653,0.78,5/29/2018,752,Shoot,Vegetative,Above
DRX088905,PRJDB5858,dag7-zt13-7,/,/,Col-0,shoot,9151893,0.77,5/29/2018,752,Shoot,Vegetative,Above
DRX088906,PRJDB5858,dag7-zt13-8,/,/,Col-0,shoot,4943317,0.77,5/29/2018,752,Shoot,Vegetative,Above
DRX088908,PRJDB5858,dag7-zt13-10,/,/,Col-0,shoot,5316412,0.75,5/29/2018,752,Shoot,Vegetative,Above
DRX088912,PRJDB5858,dag7-zt13-14,/,/,Col-0,shoot,16271570,0.75,5/29/2018,752,Shoot,Vegetative,Above
DRX088913,PRJDB5858,dag7-zt13-15,/,/,Col-0,shoot,8764422,0.78,5/29/2018,752,Shoot,Vegetative,Above
DRX088914,PRJDB5858,dag7-zt13-16,/,/,Col-0,shoot,23313028,0.78,5/29/2018,752,Shoot,Vegetative,Above
DRX088915,PRJDB5858,dag7-zt13-17,/,/,Col-0,shoot,12304723,0.75,5/29/2018,752,Shoot,Vegetative,Above
DRX088919,PRJDB5858,dag7-zt13-21,/,/,Col-0,shoot,8227666,0.77,5/29/2018,752,Shoot,Vegetative,Above
DRX088920,PRJDB5858,dag7-zt13-22,/,/,Col-0,shoot,3365980,0.77,5/29/2018,752,Shoot,Vegetative,Above
DRX088923,PRJDB5858,dag7-zt13-25,/,/,Col-0,shoot,19629617,0.8,5/29/2018,752,Shoot,Vegetative,Above
DRX088925,PRJDB5858,dag7-zt7-2,/,/,Col-0,shoot,8096926,0.75,5/29/2018,752,Shoot,Vegetative,Above
DRX088927,PRJDB5858,dag7-zt7-4,/,/,Col-0,shoot,7086590,0.79,5/29/2018,752,Shoot,Vegetative,Above
DRX088929,PRJDB5858,dag7-zt7-6,/,/,Col-0,shoot,12285640,0.75,5/29/2018,752,Shoot,Vegetative,Above
DRX088931,PRJDB5858,dag7-zt7-9,/,/,Col-0,shoot,4819866,0.75,5/29/2018,752,Shoot,Vegetative,Above
DRX088933,PRJDB5858,dag7-zt7-12,/,/,Col-0,shoot,13119905,0.76,5/29/2018,752,Shoot,Vegetative,Above
DRX088934,PRJDB5858,dag7-zt7-13,/,/,Col-0,shoot,6977002,0.76,5/29/2018,752,Shoot,Vegetative,Above
DRX088935,PRJDB5858,dag7-zt7-14,/,/,Col-0,shoot,7927180,0.78,5/29/2018,752,Shoot,Vegetative,Above
DRX088937,PRJDB5858,dag7-zt7-16,/,/,Col-0,shoot,9525293,0.77,5/29/2018,752,Shoot,Vegetative,Above
DRX088938,PRJDB5858,dag7-zt7-17,/,/,Col-0,shoot,7453621,0.77,5/29/2018,752,Shoot,Vegetative,Above
DRX088939,PRJDB5858,dag7-zt7-18,/,/,Col-0,shoot,6957952,0.77,5/29/2018,752,Shoot,Vegetative,Above
DRX088940,PRJDB5858,dag7-zt7-19,/,/,Col-0,shoot,6803486,0.75,5/29/2018,752,Shoot,Vegetative,Above
DRX088941,PRJDB5858,dag7-zt7-20,/,/,Col-0,shoot,6352086,0.75,5/29/2018,752,Shoot,Vegetative,Above
DRX088942,PRJDB5858,dag7-zt7-22,/,/,Col-0,shoot,9460370,0.78,5/29/2018,752,Shoot,Vegetative,Above
DRX088943,PRJDB5858,dag7-zt7-23,/,/,Col-0,shoot,10446824,0.78,5/29/2018,752,Shoot,Vegetative,Above
DRX088944,PRJDB5858,dag7-zt7-24,/,/,Col-0,shoot,7508259,0.76,5/29/2018,752,Shoot,Vegetative,Above
DRX088946,PRJDB5858,dag7-zt19-2,/,/,Col-0,shoot,8551747,0.76,5/29/2018,752,Shoot,Vegetative,Above
DRX088947,PRJDB5858,dag7-zt19-3,/,/,Col-0,shoot,5941726,0.77,5/29/2018,752,Shoot,Vegetative,Above
DRX088953,PRJDB5858,dag7-zt19-9,/,/,Col-0,shoot,5195908,0.75,5/29/2018,752,Shoot,Vegetative,Above
DRX088955,PRJDB5858,dag7-zt19-11,/,/,Col-0,shoot,7581959,0.76,5/29/2018,752,Shoot,Vegetative,Above
DRX088958,PRJDB5858,dag7-zt19-14,/,/,Col-0,shoot,7295876,0.75,5/29/2018,752,Shoot,Vegetative,Above
DRX088963,PRJDB5858,dag7-zt19-19,/,/,Col-0,shoot,8781388,0.76,5/29/2018,752,Shoot,Vegetative,Above
DRX088966,PRJDB5858,dag7-zt19-22,/,/,Col-0,shoot,5878992,0.76,5/29/2018,752,Shoot,Vegetative,Above
DRX088967,PRJDB5858,dag7-zt19-23,/,/,Col-0,shoot,6275076,0.77,5/29/2018,752,Shoot,Vegetative,Above
DRX088968,PRJDB5858,dag7-zt19-24,/,/,Col-0,shoot,6111842,0.75,5/29/2018,752,Shoot,Vegetative,Above
DRX088969,PRJDB5858,dag22-zt1-1,/,/,Col-0,shoot,8619539,0.75,5/29/2018,752,Shoot,Vegetative,Above
DRX088973,PRJDB5858,dag22-zt1-6,/,/,Col-0,shoot,11335310,0.79,5/29/2018,752,Shoot,Vegetative,Above
DRX088976,PRJDB5858,dag22-zt1-9,/,/,Col-0,shoot,10585651,0.75,5/29/2018,752,Shoot,Vegetative,Above
DRX088977,PRJDB5858,dag22-zt1-10,/,/,Col-0,shoot,12341350,0.77,5/29/2018,752,Shoot,Vegetative,Above
DRX088978,PRJDB5858,dag22-zt1-11,/,/,Col-0,shoot,7275562,0.77,5/29/2018,752,Shoot,Vegetative,Above
DRX088979,PRJDB5858,dag22-zt1-12,/,/,Col-0,shoot,13352950,0.75,5/29/2018,752,Shoot,Vegetative,Above
DRX088980,PRJDB5858,dag22-zt1-13,/,/,Col-0,shoot,10849414,0.76,5/29/2018,752,Shoot,Vegetative,Above
DRX088982,PRJDB5858,dag22-zt1-15,/,/,Col-0,shoot,13315746,0.77,5/29/2018,752,Shoot,Vegetative,Above
DRX088985,PRJDB5858,dag22-zt1-18,/,/,Col-0,shoot,9143275,0.75,5/29/2018,752,Shoot,Vegetative,Above
DRX088986,PRJDB5858,dag22-zt1-19,/,/,Col-0,shoot,5392934,0.77,5/29/2018,752,Shoot,Vegetative,Above
DRX088987,PRJDB5858,dag22-zt1-20,/,/,Col-0,shoot,6362877,0.77,5/29/2018,752,Shoot,Vegetative,Above
DRX088988,PRJDB5858,dag22-zt1-21,/,/,Col-0,shoot,11090321,0.76,5/29/2018,752,Shoot,Vegetative,Above
DRX088989,PRJDB5858,dag22-zt1-22,/,/,Col-0,shoot,8330333,0.76,5/29/2018,752,Shoot,Vegetative,Above
DRX088990,PRJDB5858,dag22-zt1-23,/,/,Col-0,shoot,16479173,0.75,5/29/2018,752,Shoot,Vegetative,Above
DRX088992,PRJDB5858,dag22-zt13-1,/,/,Col-0,shoot,6560784,0.76,5/29/2018,752,Shoot,Vegetative,Above
DRX088997,PRJDB5858,dag22-zt13-6,/,/,Col-0,shoot,9987036,0.76,5/29/2018,752,Shoot,Vegetative,Above
DRX089001,PRJDB5858,dag22-zt13-10,/,/,Col-0,shoot,5320968,0.76,5/29/2018,752,Shoot,Vegetative,Above
DRX089002,PRJDB5858,dag22-zt13-11,/,/,Col-0,shoot,12442430,0.78,5/29/2018,752,Shoot,Vegetative,Above
DRX089003,PRJDB5858,dag22-zt13-12,/,/,Col-0,shoot,6973897,0.77,5/29/2018,752,Shoot,Vegetative,Above
DRX089004,PRJDB5858,dag22-zt13-13,/,/,Col-0,shoot,8073291,0.79,5/29/2018,752,Shoot,Vegetative,Above
DRX089007,PRJDB5858,dag22-zt13-16,/,/,Col-0,shoot,10442156,0.77,5/29/2018,752,Shoot,Vegetative,Above
DRX089008,PRJDB5858,dag22-zt13-17,/,/,Col-0,shoot,8059341,0.77,5/29/2018,752,Shoot,Vegetative,Above
DRX089009,PRJDB5858,dag22-zt13-18,/,/,Col-0,shoot,10293592,0.77,5/29/2018,752,Shoot,Vegetative,Above
DRX089011,PRJDB5858,dag22-zt13-20,/,/,Col-0,shoot,6398983,0.78,5/29/2018,752,Shoot,Vegetative,Above
DRX089012,PRJDB5858,dag22-zt13-21,/,/,Col-0,shoot,9017064,0.77,5/29/2018,752,Shoot,Vegetative,Above
DRX089014,PRJDB5858,dag22-zt13-23,/,/,Col-0,shoot,14025480,0.76,5/29/2018,752,Shoot,Vegetative,Above
DRX089015,PRJDB5858,dag22-zt13-24,/,/,Col-0,shoot,7835521,0.79,5/29/2018,752,Shoot,Vegetative,Above
DRX089016,PRJDB5858,dag22-zt7-1,/,/,Col-0,shoot,5262370,0.79,5/29/2018,752,Shoot,Vegetative,Above
DRX089017,PRJDB5858,dag22-zt7-2,/,/,Col-0,shoot,6709306,0.77,5/29/2018,752,Shoot,Vegetative,Above
DRX089018,PRJDB5858,dag22-zt7-3,/,/,Col-0,shoot,6791205,0.77,5/29/2018,752,Shoot,Vegetative,Above
DRX089019,PRJDB5858,dag22-zt7-4,/,/,Col-0,shoot,7357981,0.79,5/29/2018,752,Shoot,Vegetative,Above
DRX089020,PRJDB5858,dag22-zt7-5,/,/,Col-0,shoot,13072350,0.78,5/29/2018,752,Shoot,Vegetative,Above
DRX089021,PRJDB5858,dag22-zt7-6,/,/,Col-0,shoot,9814947,0.79,5/29/2018,752,Shoot,Vegetative,Above
DRX089022,PRJDB5858,dag22-zt7-7,/,/,Col-0,shoot,6360457,0.78,5/29/2018,752,Shoot,Vegetative,Above
DRX089023,PRJDB5858,dag22-zt7-8,/,/,Col-0,shoot,11758189,0.76,5/29/2018,752,Shoot,Vegetative,Above
DRX089026,PRJDB5858,dag22-zt7-11,/,/,Col-0,shoot,5943750,0.77,5/29/2018,752,Shoot,Vegetative,Above
DRX089027,PRJDB5858,dag22-zt7-12,/,/,Col-0,shoot,5176996,0.76,5/29/2018,752,Shoot,Vegetative,Above
DRX089028,PRJDB5858,dag22-zt7-13,/,/,Col-0,shoot,6748336,0.79,5/29/2018,752,Shoot,Vegetative,Above
DRX089029,PRJDB5858,dag22-zt7-14,/,/,Col-0,shoot,5629599,0.78,5/29/2018,752,Shoot,Vegetative,Above
DRX089030,PRJDB5858,dag22-zt7-15,/,/,Col-0,shoot,6184093,0.8,5/29/2018,752,Shoot,Vegetative,Above
DRX089031,PRJDB5858,dag22-zt7-16,/,/,Col-0,shoot,6092390,0.77,5/29/2018,752,Shoot,Vegetative,Above
DRX089032,PRJDB5858,dag22-zt7-17,/,/,Col-0,shoot,5526760,0.78,5/29/2018,752,Shoot,Vegetative,Above
DRX089033,PRJDB5858,dag22-zt7-18,/,/,Col-0,shoot,10980892,0.75,5/29/2018,752,Shoot,Vegetative,Above
DRX089034,PRJDB5858,dag22-zt7-19,/,/,Col-0,shoot,9198534,0.77,5/29/2018,752,Shoot,Vegetative,Above
DRX089035,PRJDB5858,dag22-zt7-20,/,/,Col-0,shoot,8497588,0.78,5/29/2018,752,Shoot,Vegetative,Above
DRX089036,PRJDB5858,dag22-zt7-21,/,/,Col-0,shoot,6840080,0.75,5/29/2018,752,Shoot,Vegetative,Above
DRX089039,PRJDB5858,dag22-zt7-24,/,/,Col-0,shoot,8818116,0.76,5/29/2018,752,Shoot,Vegetative,Above
DRX089040,PRJDB5858,dag22-zt19-1,/,/,Col-0,shoot,5181484,0.78,5/29/2018,752,Shoot,Vegetative,Above
DRX089041,PRJDB5858,dag22-zt19-2,/,/,Col-0,shoot,6303830,0.78,5/29/2018,752,Shoot,Vegetative,Above
DRX089042,PRJDB5858,dag22-zt19-3,/,/,Col-0,shoot,7429597,0.8,5/29/2018,752,Shoot,Vegetative,Above
DRX089043,PRJDB5858,dag22-zt19-4,/,/,Col-0,shoot,10464066,0.78,5/29/2018,752,Shoot,Vegetative,Above
DRX089045,PRJDB5858,dag22-zt19-6,/,/,Col-0,shoot,7262332,0.79,5/29/2018,752,Shoot,Vegetative,Above
DRX089046,PRJDB5858,dag22-zt19-7,/,/,Col-0,shoot,6449150,0.75,5/29/2018,752,Shoot,Vegetative,Above
DRX089047,PRJDB5858,dag22-zt19-8,/,/,Col-0,shoot,6943331,0.78,5/29/2018,752,Shoot,Vegetative,Above
DRX089048,PRJDB5858,dag22-zt19-9,/,/,Col-0,shoot,5441219,0.75,5/29/2018,752,Shoot,Vegetative,Above
DRX089049,PRJDB5858,dag22-zt19-10,/,/,Col-0,shoot,5206965,0.78,5/29/2018,752,Shoot,Vegetative,Above
DRX089050,PRJDB5858,dag22-zt19-11,/,/,Col-0,shoot,1587215,0.8,5/29/2018,752,Shoot,Vegetative,Above
DRX089051,PRJDB5858,dag22-zt19-12,/,/,Col-0,shoot,6511402,0.77,5/29/2018,752,Shoot,Vegetative,Above
DRX089052,PRJDB5858,dag22-zt19-13,/,/,Col-0,shoot,7804605,0.78,5/29/2018,752,Shoot,Vegetative,Above
DRX089054,PRJDB5858,dag22-zt19-15,/,/,Col-0,shoot,10132919,0.78,5/29/2018,752,Shoot,Vegetative,Above
DRX089055,PRJDB5858,dag22-zt19-16,/,/,Col-0,shoot,6027336,0.77,5/29/2018,752,Shoot,Vegetative,Above
DRX089057,PRJDB5858,dag22-zt19-18,/,/,Col-0,shoot,8963352,0.78,5/29/2018,752,Shoot,Vegetative,Above
DRX089058,PRJDB5858,dag22-zt19-19,/,/,Col-0,shoot,9814504,0.77,5/29/2018,752,Shoot,Vegetative,Above
DRX089059,PRJDB5858,dag22-zt19-20,/,/,Col-0,shoot,7134582,0.79,5/29/2018,752,Shoot,Vegetative,Above
DRX089061,PRJDB5858,dag22-zt19-22,/,/,Col-0,shoot,5512537,0.79,5/29/2018,752,Shoot,Vegetative,Above
DRX089062,PRJDB5858,dag22-zt19-23,/,/,Col-0,shoot,7688533,0.78,5/29/2018,752,Shoot,Vegetative,Above
DRX089063,PRJDB5858,dag22-zt19-24,/,/,Col-0,shoot,7573807,0.75,5/29/2018,752,Shoot,Vegetative,Above
DRX092371,PRJDB5913,RandomCap+day3_1,/,/,T87,cultured cell,27147925,0.89,1/11/2018,,other,other,other
DRX092372,PRJDB5913,RandomCap+day3_2,/,/,T87,cultured cell,27361314,0.89,1/11/2018,,other,other,other
DRX092373,PRJDB5913,Oligo-dTCap+day3_1,/,/,T87,cultured cell,9624584,0.76,1/11/2018,,other,other,other
DRX092375,PRJDB5913,RandomCap-day3_1,/,/,T87,cultured cell,60296701,0.78,1/11/2018,,other,other,other
DRX092376,PRJDB5913,RandomCap-day3_2,/,/,T87,cultured cell,78622559,0.78,1/11/2018,,other,other,other
DRX092558,PRJDB6099,WT_1,/,wild type,/,rosette leaf,39959857,0.97,8/2/2018,1122,Leaf,Vegetative,Above
DRX092559,PRJDB6099,WT_2,/,wild type,/,rosette leaf,40307741,0.97,8/2/2018,1122,Leaf,Vegetative,Above
DRX092560,PRJDB6099,VANC6_TG_1,/,/,/,rosette leaf,46209237,0.97,8/2/2018,1122,Leaf,Vegetative,Above
DRX092561,PRJDB6099,VANC6_TG_2,/,/,/,rosette leaf,47060829,0.97,8/2/2018,1122,Leaf,Vegetative,Above
DRX092562,PRJDB6099,deltaAB_TG_1,/,/,/,rosette leaf,48215063,0.97,8/2/2018,1122,Leaf,Vegetative,Above
DRX092563,PRJDB6099,deltaAB_TG_2,/,/,/,rosette leaf,43601096,0.97,8/2/2018,1122,Leaf,Vegetative,Above
DRX092689,PRJDB6107,BrU_1h-1,/,/,T87,cultured cell,40181486,0.78,1/11/2018,,other,other,other
DRX099517,PRJDB6370,Control_1,/,wild type,Col-0,root,3249209,0.95,9/28/2017,1662,Root,Root,Below
DRX099518,PRJDB6370,Control_2,/,wild type,Col-0,root,3990947,0.95,9/28/2017,1662,Root,Root,Below
DRX099519,PRJDB6370,Control_3,/,wild type,Col-0,root,3785596,0.95,9/28/2017,1662,Root,Root,Below
DRX099520,PRJDB6370,B-deprived_1,/,/,Col-0,root,3019484,0.95,9/28/2017,1662,Root,Root,Below
DRX099521,PRJDB6370,B-deprived_2,/,/,Col-0,root,3590038,0.95,9/28/2017,1662,Root,Root,Below
DRX099522,PRJDB6370,B-deprived_3,/,/,Col-0,root,4085254,0.95,9/28/2017,1662,Root,Root,Below
DRX099523,PRJDB6370,Masked_1,/,/,Col-0,root,3382899,0.95,9/28/2017,1662,Root,Root,Below
DRX099524,PRJDB6370,Masked_2,/,/,Col-0,root,3832505,0.95,9/28/2017,1662,Root,Root,Below
DRX099525,PRJDB6370,Masked_3,/,/,Col-0,root,3718709,0.95,9/28/2017,1662,Root,Root,Below
DRX111362,PRJDB6530,ag_sup_clv3_3,29218596,ag-1 sup-1 clv3-2 triple mutant,Ler,flower bud,12252968,0.77,1/9/2018,123,Flower,Reproductive,Above
DRX111920,PRJDB6573,day3_negative_1,/,/,Col-0,shoot apex,17105033,0.9,5/8/2018,77,Shoot,Vegetative,Above
DRX111921,PRJDB6573,day3_negative_2,/,/,Col-0,shoot apex,17725820,0.9,5/8/2018,77,Shoot,Vegetative,Above
DRX111922,PRJDB6573,day3_negative_3,/,/,Col-0,shoot apex,16744506,0.9,5/8/2018,77,Shoot,Vegetative,Above
DRX111923,PRJDB6573,day3_positive_1,/,/,Col-0,shoot apex,12451679,0.9,5/8/2018,77,Shoot,Vegetative,Above
DRX111924,PRJDB6573,day3_positive_2,/,/,Col-0,shoot apex,16573613,0.89,5/8/2018,77,Shoot,Vegetative,Above
DRX111925,PRJDB6573,day3_positive_3,/,/,Col-0,shoot apex,16651667,0.9,5/8/2018,77,Shoot,Vegetative,Above
DRX111926,PRJDB6573,day5_negative_1,/,/,Col-0,shoot apex,12759555,0.91,5/8/2018,77,Shoot,Vegetative,Above
DRX111927,PRJDB6573,day5_negative_2,/,/,Col-0,shoot apex,15206818,0.91,5/8/2018,77,Shoot,Vegetative,Above
DRX111928,PRJDB6573,day5_negative_3,/,/,Col-0,shoot apex,15701673,0.9,5/8/2018,77,Shoot,Vegetative,Above
DRX111929,PRJDB6573,day5_positive_1,/,/,Col-0,shoot apex,15515959,0.9,5/8/2018,77,Shoot,Vegetative,Above
DRX111930,PRJDB6573,day5_positive_2,/,/,Col-0,shoot apex,12761093,0.89,5/8/2018,77,Shoot,Vegetative,Above
DRX111931,PRJDB6573,day5_positive_3,/,/,Col-0,shoot apex,11757305,0.9,5/8/2018,77,Shoot,Vegetative,Above
DRX111932,PRJDB6573,Shoot apex_1,/,/,Col-0,shoot apex,10960512,0.9,5/8/2018,77,Shoot,Vegetative,Above
DRX111933,PRJDB6573,Shoot apex_2,/,/,Col-0,shoot apex,13097230,0.88,5/8/2018,77,Shoot,Vegetative,Above
DRX111934,PRJDB6573,Shoot apex_3,/,/,Col-0,shoot apex,12162185,0.87,5/8/2018,77,Shoot,Vegetative,Above
DRX111935,PRJDB6573,Stress_1,/,/,Col-0,shoot apex,17333731,0.9,5/8/2018,77,Shoot,Vegetative,Above
DRX111936,PRJDB6573,Stress_2,/,/,Col-0,shoot apex,11831105,0.89,5/8/2018,77,Shoot,Vegetative,Above
DRX111937,PRJDB6573,Stress_3,/,/,Col-0,shoot apex,18588429,0.9,5/8/2018,77,Shoot,Vegetative,Above
DRX137645,PRJDB7233,WT1_control_1,30420711,wild type,Col-0,leaves,38946608,0.92,9/28/2018,3633,Leaf,Vegetative,Above
DRX137646,PRJDB7233,WT1_-N_1,30420711,wild type,Col-0,leaves,36762315,0.94,9/28/2018,3633,Leaf,Vegetative,Above
DRX137647,PRJDB7233,WT1_-P_1,30420711,wild type,Col-0,leaves,27957101,0.93,9/28/2018,3633,Leaf,Vegetative,Above
DRX137648,PRJDB7233,mutant1_control_1,30420711,dpd1-1 mutant,Col-0,leaves,30680748,0.93,9/28/2018,3633,Leaf,Vegetative,Above
DRX137649,PRJDB7233,mutant1_-N_1,30420711,dpd1-1 mutant,Col-0,leaves,31654304,0.94,9/28/2018,3633,Leaf,Vegetative,Above
DRX137650,PRJDB7233,mutant1_-P_1,30420711,dpd1-1 mutant,Col-0,leaves,31208647,0.95,9/28/2018,3633,Leaf,Vegetative,Above
DRX137651,PRJDB7233,WT2_control_1,30420711,wild type,Col-0,leaves,33920411,0.94,9/28/2018,3633,Leaf,Vegetative,Above
DRX137652,PRJDB7233,WT2_-N_1,30420711,wild type,Col-0,leaves,29930987,0.95,9/28/2018,3633,Leaf,Vegetative,Above
DRX137653,PRJDB7233,WT2_-P_1,30420711,wild type,Col-0,leaves,30318306,0.94,9/28/2018,3633,Leaf,Vegetative,Above
DRX137654,PRJDB7233,WT3_control_1,30420711,wild type,Col-0,leaves,29033899,0.95,9/28/2018,3633,Leaf,Vegetative,Above
DRX137655,PRJDB7233,WT3_-N_1,30420711,wild type,Col-0,leaves,32474481,0.95,9/28/2018,3633,Leaf,Vegetative,Above
DRX137656,PRJDB7233,WT3_-P_1,30420711,wild type,Col-0,leaves,30516015,0.94,9/28/2018,3633,Leaf,Vegetative,Above
DRX137657,PRJDB7233,mutant2_control_1,30420711,dpd1-1 mutant,Col-0,leaves,35494278,0.94,9/28/2018,3633,Leaf,Vegetative,Above
DRX137658,PRJDB7233,mutant2_-N_1,30420711,dpd1-1 mutant,Col-0,leaves,31531588,0.94,9/28/2018,3633,Leaf,Vegetative,Above
DRX137659,PRJDB7233,mutant2_-P_1,30420711,dpd1-1 mutant,Col-0,leaves,27486787,0.94,9/28/2018,3633,Leaf,Vegetative,Above
DRX137660,PRJDB7233,mutant3_control_1,30420711,dpd1-1 mutant,Col-0,leaves,32538513,0.94,9/28/2018,3633,Leaf,Vegetative,Above
DRX137661,PRJDB7233,mutant3_-N_1,30420711,dpd1-1 mutant,Col-0,leaves,36492203,0.94,9/28/2018,3633,Leaf,Vegetative,Above
DRX137662,PRJDB7233,mutant3_-P_1,30420711,dpd1-1 mutant,Col-0,leaves,30550248,0.94,9/28/2018,3633,Leaf,Vegetative,Above
DRX139786,PRJDB7363,B2_c_rep1,/,/,Col-0,seedlings,16341347,0.76,1/30/2019,,other,other,other
DRX139787,PRJDB7363,B2_c_rep2,/,/,Col-0,seedlings,15797297,0.86,1/30/2019,,other,other,other
DRX139788,PRJDB7363,B2_d_rep1,/,/,Col-0,seedlings,10779812,0.88,1/30/2019,,other,other,other
DRX139789,PRJDB7363,B2_d_rep2,/,/,Col-0,seedlings,12675753,0.85,1/30/2019,,other,other,other
